,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,WHITE_ELO,BLACK_ELO,WINNER
16046,0,0,-5,0,-5,0,-1000000,0,0,0,-9,-3,0,-1,-1,-1,-1,-3,-3,0,-1,-3,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,9,1,3,1,0,5,0,5,0,0,1000000,0,1215,1379,1
16047,-5,0,-9,-3,0,-5,-1000000,0,0,0,-1,-3,0,0,-1,0,-1,0,0,-3,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,3,-3,0,1,3,0,0,9,0,0,3,0,1,1,0,3,1,1,1,0,0,0,5,5,0,1000000,0,720,308,-1
16048,0,0,0,0,0,-5,-1000000,0,0,-1,-1,0,0,0,0,0,-9,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,-3,9,0,0,1,0,0,0,-3,0,0,0,0,0,1,0,0,0,0,1000000,0,0,0,3,0,0,0,0,0,1507,917,-1
16049,0,-1000000,-5,0,0,0,0,0,0,-1,0,0,-9,3,0,0,-1,0,0,0,0,-3,-1,0,3,0,-1,0,0,-1,0,0,1,0,1,-1,-3,1,0,0,9,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,5,0,0,0,0,5,1000000,0,329,2400,1
16050,0,0,-5,0,0,-3,0,-1000000,0,0,0,-3,0,-1,0,-9,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-3,0,1,1,0,0,1,0,3,-1,0,0,9,3,0,1,0,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1000000,0,407,2092,1
16051,-5,0,0,-9,-5,0,-1000000,0,-1,-1,0,0,0,-1,-1,-1,0,0,-3,0,-3,3,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,-3,0,0,1,0,3,0,1,0,0,1,0,1,3,3,0,0,1,0,5,0,0,9,1000000,0,0,5,2195,2356,1
16052,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1000000,1,0,0,0,0,0,0,-1,0,0,0,0,0,-3,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,694,260,-1
16053,0,0,-5,0,0,0,-1000000,0,0,-1,0,0,-3,-1,-1,-3,-1,0,0,0,-1,0,0,-1,0,0,3,-1,1,0,0,1,-9,1,0,1,0,1,0,0,1,0,-5,0,0,0,1,0,0,5,0,0,9,3,0,0,0,0,0,0,5,0,1000000,0,1812,1821,1
16054,0,-1000000,0,0,0,-3,0,-5,0,1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-9,0,3,0,1,1,0,0,1,0,0,0,0,5,0,3,0,0,0,1000000,0,2216,1855,-1
16055,0,-5,-5,0,-9,0,0,0,0,0,0,0,-3,-1000000,0,-1,0,0,-3,-1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,-1,0,9,0,1,3,0,0,1,-1,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,5,0,5,0,0,1000000,0,1160,2016,1
16056,-5,0,0,0,0,0,-5,0,-1,-1,-1,0,0,-1000000,0,-1,0,0,-3,0,-1,0,0,0,-3,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,5,0,0,0,0,1,3,0,0,0,0,0,1000000,0,0,5,290,455,1
16057,-5,0,-3,0,0,-5,-1000000,0,-1,-1,0,0,-3,-1,-1,-1,0,0,0,0,-1,0,0,0,-9,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,5,1,1,1,0,0,0,1,0,5,3,3,0,0,1000000,9,0,2318,2367,1
16058,-5,-3,-3,0,0,0,-3,9,-1,-1,0,-1000000,0,-1,0,0,0,0,-1,0,0,0,0,0,-9,0,0,0,-1,0,0,-1,0,0,0,1,-1,3,0,0,0,0,-3,0,0,0,0,0,1,0,1,0,3,1,1,1,0,5,0,1000000,0,3,0,5,286,1327,1
16059,-5,0,0,0,0,-3,0,0,-1,0,0,0,0,-1,-1000000,0,5,0,0,0,0,0,-1,-1,1,-1,-5,0,-1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,5,0,1000000,0,374,496,1
16060,-5,0,-3,-9,0,-5,-1000000,0,0,-1,-1,-3,0,-1,-3,-1,0,0,0,-1,-3,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,3,3,1,1,1,5,0,0,0,1,3,0,0,0,9,0,0,1000000,0,5,963,1321,1
16061,0,0,0,-9,0,0,0,-3,0,0,0,0,-3,-3,0,-1000000,0,0,0,-3,0,-1,0,-1,0,-1,0,-1,-1,1,0,0,-1,3,0,0,1,0,5,0,1,0,0,1,0,9,0,3,0,1,-5,0,0,0,0,1,0,0,0,0,0,0,3,1000000,1870,1787,-1
16062,0,0,0,0,0,0,0,0,0,0,-9,0,-5,0,0,-1000000,0,-1,0,-3,0,0,-1,-1,3,0,-1,0,0,-1,0,-3,1,0,1,-1,0,1,0,0,0,0,0,1,0,0,1,1,5,1,-3,0,1,0,3,0,0,0,0,9,0,0,1000000,0,1683,2277,1
16063,-5,0,0,0,0,-5,-1000000,0,0,-1,-1,-9,0,-1,-3,0,-1,0,0,-1,0,-3,-1,0,0,0,-3,1,-1,0,3,-1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,1,-3,1,0,9,3,3,1,0,1,5,0,0,0,5,0,1000000,0,2370,2318,-1
16064,-5,0,-3,0,-5,-3,-1000000,0,-1,0,0,-1,0,-9,-1,-3,0,-1,-3,1,-1,0,0,-1,0,0,-1,0,-1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0,1,0,0,3,1,1,3,5,0,0,9,0,5,1000000,0,2225,1977,-1
16065,-5,-3,0,0,-1000000,-3,0,-5,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-3,-1,-1,-1,0,1,0,0,1,0,0,1,-3,0,-1,3,0,0,1,0,9,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,3,0,0,1000000,5,0,2158,2241,1
16066,0,-9,-5,0,0,0,-1000000,0,0,0,0,0,0,-1,-1,0,-1,0,0,-3,-5,-3,0,0,1,0,5,-1,0,0,0,-1,5,-1,0,1,-1,0,-3,1,0,1,0,0,1,0,1,0,0,3,0,9,0,1,3,0,0,3,0,0,0,0,1000000,0,2338,2171,-1
16067,0,0,0,-5,-5,0,-1000000,0,0,0,0,0,-9,-1,-1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,1,1,0,0,0,0,-1,1,3,0,0,0,0,0,9,0,1000000,5,1513,278,-1
16068,0,0,0,0,-5,-5,-1000000,0,0,-1,0,-3,0,0,0,0,-1,0,0,-9,0,0,0,-1,1,0,-3,3,0,-1,-1,-3,0,3,1,0,-1,0,0,0,0,9,0,-1,0,0,0,1,0,1,0,1,0,1,1,0,0,5,3,0,5,0,1000000,0,223,2351,1
16069,-5,0,0,-9,0,-5,0,0,0,-1,-1,0,-3,0,-1000000,0,0,0,0,-1,-3,-1,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,0,1,0,1,-1,1,-3,1,0,3,3,0,0,0,1,0,0,3,1,9,0,0,0,0,5,1000000,0,0,5,416,1662,1
16070,0,0,0,0,0,0,-1000000,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,9,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,1,0,0,0,-9,0,3,0,5,0,0,0,0,0,0,1000000,0,0,445,2178,1
16071,0,0,0,0,-5,0,-1000000,0,-1,-1,0,-3,0,0,0,-1,0,0,-1,0,-3,-9,0,0,0,0,0,0,0,0,-1,0,1,1,1,3,0,-1,1,0,0,5,0,0,-3,1,0,1,0,0,0,5,0,0,3,1000000,9,0,3,0,0,0,0,0,1728,2113,1
16072,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-1,0,0,0,0,0,0,-1000000,0,0,0,0,0,0,0,0,-3,0,0,0,1000000,0,1,0,0,-1,0,0,0,0,0,0,0,0,1260,769,-1
