,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
154,3R4/6k1/7p/B7/P5P1/1b5P/5P2/6K1 w - - 0 65,d8a8,WHITE,359,1402,1
155,r1b4r/pp4k1/3pnpp1/bPp3n1/PRP1P1Pp/2NP1p1P/4NQBK/2B2R2 b - - 0 25,c5b4,BLACK,449,800,1
156,r1b1k2r/pp1nbp1p/4p3/qBPpP1p1/8/P2Q1N2/R1n2PPP/1NB2RK1 b kq - 0 16,g5g4,BLACK,2436,2417,-1
157,3rk2r/1bq1bpp1/p1n1p1np/1pp1P2Q/3pNP2/P2P3P/BPPB2P1/RN2R1K1 w k - 7 20,a2e6,WHITE,2015,1548,-1
158,2r2rk1/2qb1pn1/2p1p3/ppb1P2p/P1p1PPpP/6P1/1PQNN1B1/1K1RR3 w - - 7 23,d2b3,WHITE,1235,1164,-1
159,2b4r/p1r2ppk/1ppq1b2/3P3p/4pP1P/PQP5/1P2B3/2KR3R b - - 0 27,c7e7,BLACK,703,1071,1
160,r6r/pp2pkb1/2pqb2p/3p1p1P/2nP1Pp1/3QP1P1/PPPBN3/1K1R1B1R w - - 5 19,e2c1,WHITE,1800,939,-1
161,r1b1r1k1/pp3ppp/1q6/2n5/3Q4/4BP1B/1P3P1P/R3K1R1 b Q - 4 18,b6h6,BLACK,356,1082,1
162,1r2r1k1/3q1ppp/ppp5/2Pp2P1/1P1Pp2P/P5Nb/1B1Q1PRR/2K2N2 w - - 1 33,g3h1,WHITE,1482,1909,1
163,3rk2r/1p3p2/1qp1pPbp/8/p2NP3/2P1p1PP/PP4B1/1RQ1K1R1 b k - 3 27,c6c5,BLACK,1093,2286,1
164,1k6/1b1p2N1/1P4rp/B2n4/3Pn2P/5rP1/1R3P2/2R3K1 w - - 1 43,g7e8,WHITE,1453,2461,1
165,8/4k3/8/3B3p/8/Pp1Pb3/1P3qRP/3R3K b - - 3 44,f2f4,BLACK,1626,1656,1
166,5rk1/4n3/B1q1p1b1/p1PpQpN1/7p/4P3/PP3PP1/2R1R1K1 w - - 0 36,g5e6,WHITE,259,1225,1
167,4r1k1/3r1p2/P4Pbp/p1p1B1p1/Q1Pp2n1/3p1NPq/1R1Nn2P/5R1K b - - 1 37,g4e3,BLACK,1361,1397,1
168,3R4/2r1qb1k/1pp2p1P/p3p1p1/P1P1P3/1P3Q2/2P2P2/5K2 w - - 0 65,f3f5,WHITE,1892,1581,-1
169,4qrk1/p6p/3b2pP/1pp1NpP1/1n3B2/3P4/PPP3Q1/R2K3R w - - 0 28,g2h2,WHITE,1605,1644,1
170,r4rk1/1pp3p1/4bp2/1Pq4p/2P1Q2P/4bNP1/3BB3/2R1K2R b K - 0 23,e3f2,BLACK,294,1380,1
171,4k2r/r1qbnp2/p5n1/P1pBP2p/1pP2Pp1/8/1PQN2PP/R4RK1 w k - 1 27,c2e4,WHITE,1363,1926,1
172,r3k2r/pbpqb1np/1pn1p3/4P3/7B/2P2NP1/P2NQPBP/R3K2R b KQkq - 0 21,g7f5,BLACK,773,1153,1
173,3r4/3r1k2/pq2p2p/4Pp1P/2Q3p1/P7/5P1P/5RK1 b - - 0 39,d7d1,BLACK,1736,1043,-1
174,5k2/1B5p/p7/4r1p1/2q3P1/P5KP/5P2/8 b - - 0 35,a6a5,BLACK,1313,858,-1
175,5rk1/5qb1/2p1b1p1/1p2p1Qp/3pP2P/3PnP1N/3NK1P1/2R4R b - - 7 26,f7a7,BLACK,830,1134,1
176,2r1kb1r/pp2qp1p/4P3/6pP/3p4/P2N1P2/1P1PQ2P/R1B2RK1 w k g6 0 22,e6f7,WHITE,311,345,1
