,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
12829,2b1qr1k/r3b1pp/p4n2/2p2P2/2QnP3/P1N3P1/P1P3BP/R1BR2K1 w - - 1 20,c1f4,WHITE,1977,1793,-1
12830,2k4r/1r3p1p/2q2np1/b1P1p3/4P3/B4QPP/P4P2/1N3RK1 w - - 2 25,g3g4,WHITE,1400,1134,-1
12831,4rrk1/1P1q1pp1/p2b3p/2pnp2b/Rn2P2P/1B1PP1P1/1PP1N3/2B2QK1 w - - 1 24,b7b8n,WHITE,1961,1333,-1
12832,1r6/7p/B4R2/1pk1P3/1n2K1PP/4P3/4P3/8 b - - 4 46,b8a8,BLACK,542,2207,1
12833,4n3/6k1/r1p3Bp/2P4P/pP1qp1P1/P3p3/R5K1/8 b - - 4 53,e8c7,BLACK,2256,364,-1
12834,1k1r1b1r/pp4pp/2q1bp2/2ppP2P/2nP3P/PRN1P3/2P1NBB1/3Q1RK1 b - - 2 20,e6g4,BLACK,960,1782,1
12835,rn1r2k1/1b1nRp1p/p2P1PpB/1pq5/5P2/PBp4P/2Q3P1/R5K1 w - - 1 25,c2f2,WHITE,280,1556,1
12836,2rq2k1/5ppp/3n4/Pp1P4/4bPP1/PNn2B1P/8/R1B1Q1RK w - - 3 35,g1f1,WHITE,1136,901,-1
12837,r2qk2r/1p2ppbp/1n1p1np1/1NpP4/2P1PBb1/2NQ1PP1/Pp4BP/1R2K2R b Kkq - 1 15,g4d7,BLACK,1758,2185,1
12838,rnbqk2r/1p1nbpp1/p1p1p2p/3pP3/3P1B1P/2N2N1R/PPP1BPP1/R2QK3 b Qkq - 1 9,b7b5,BLACK,946,959,1
12839,8/p1q2rk1/7p/1Pp3pP/2Pp2B1/3PrPP1/4PQ2/R4KN1 w - - 7 38,f1g2,WHITE,1864,691,-1
12840,3q1r2/1br1b2k/p5pp/1ppBpp1n/3nP3/P2PB2P/1PPQNPPN/2R1R1K1 b - - 0 20,f5f4,BLACK,1562,1933,1
12841,r7/3k1p2/p2bp1rP/1p1p1b2/2pP1PNq/P1P1B2P/1P3RQ1/R5K1 w - - 5 26,a1f1,WHITE,1999,262,-1
12842,2r1r1k1/q6p/6p1/1Qb1Bp2/p3n2P/P1P2NP1/1PR2PB1/2N1K2R w - - 1 34,c1d3,WHITE,803,1577,1
12843,r4r1k/ppq3pp/2nn1bb1/2p5/6Q1/P1P2NPP/1P1N1PB1/R1B1R1K1 b - - 5 20,c6d4,BLACK,1228,1354,1
12844,1r2kr2/1pQb4/p1nPpq2/3p1p2/7P/3B4/P4PP1/1R3RK1 b - - 4 26,f8h8,BLACK,2429,878,-1
12845,1rb3k1/3nrpb1/1pq2np1/pNpp2N1/P2P3p/1P2PB1P/Q4PP1/B2RR1K1 w - - 0 25,d4c5,WHITE,211,970,1
12846,6r1/q2bb2k/4p3/2ppP1p1/3n2P1/2N1B3/P4P1P/3RR2K w - - 0 31,d1d3,WHITE,1701,1108,-1
12847,7k/8/2r5/1p2P2R/5N2/4b2K/8/8 b - - 8 80,h8g8,BLACK,907,1718,1
12848,r2q1rk1/1p1b2pp/2n4n/pNp1p3/2P2pPb/2BP1N1P/PP2QRBK/R7 b - - 0 22,d7g4,BLACK,1321,2116,1
12849,rn1qkbnr/pb1p1ppp/2p1p3/1p6/1P1PPB2/P1N5/2P2PPP/R2QKBNR b KQkq - 2 6,a7a5,BLACK,426,1454,1
12850,4rbk1/1b2q1r1/1p2N3/4P3/p2p2B1/P5QP/2P2PP1/RR4K1 w - - 4 32,b1e1,WHITE,242,995,1
12851,1k1r4/1pp3pp/1p2q3/3nP1P1/1PpP1r2/P2b1N1P/3Q1RBK/2B1R3 b - - 5 34,d3e4,BLACK,1499,2346,1
12852,2rqk2r/pp1bbppp/2n1pn2/3p4/3P1BP1/2P2N1P/PP2BP2/RN1QR1K1 b k - 2 15,h7h5,BLACK,973,2265,1
12853,6r1/P3b3/3k3p/1B1p4/8/P6P/5P2/4K3 w - - 1 37,a7a8q,WHITE,356,308,-1
12854,3r4/3k4/p3n2p/6bP/4Qn2/1PP5/P1KP2r1/R1B5 w - - 1 53,c1a3,WHITE,1513,1665,1
12855,1r6/3R1pk1/1p3b2/2R1p1pp/pP6/5PP1/P6K/8 w - - 0 33,c5c7,WHITE,787,1727,1
12856,rnbq1rk1/1p1p1pb1/p3p2p/2p1P1N1/P1BPNnP1/7P/1PP2P2/R1BQK2R w KQ - 0 12,g5h7,WHITE,853,2272,1
12857,1rb1k1r1/4npb1/pP1qp2p/3pn2P/1P1N1Bp1/P1N1Q3/2P2PP1/2KR1B1R b - - 4 19,c8b7,BLACK,2370,1834,-1
12858,8/8/k5p1/8/1pr3K1/8/7P/8 w - - 4 57,g4g3,WHITE,899,327,-1
12859,r2q1rk1/3bpp1p/p1np1npb/1pp5/P3P3/N1P2N2/BP1P1PPP/R1BQR1K1 w - - 0 11,d2d4,WHITE,1425,1478,1
12860,1R3nk1/1p5p/pP6/6p1/4n1P1/3N3P/2R2P2/7K w - - 3 54,h1g1,WHITE,1888,2325,1
12861,r5k1/pp1q1pp1/2p1b3/P7/1P1n1P2/2Q5/3R1KBP/8 w - - 2 34,d2d4,WHITE,633,723,1
12862,1r2b1k1/4Prp1/p2K1p1p/Pp1BnP1P/1P1R4/8/2R5/8 b - - 30 72,e5d7,BLACK,1100,2138,1
12863,3r2k1/2R3p1/rp2qp1p/1N2p3/nB2P3/3PRNP1/2Q3BP/7K b - - 4 36,e6g4,BLACK,1742,1762,1
12864,r3r2k/p2b1pp1/n2b2np/1ppN4/2Pp2Pq/BP2PB2/PN1P2QP/4RRK1 b - - 1 26,g6e5,BLACK,1135,1349,1
12865,3rk2r/p1pn1ppp/1p6/4n3/P2BP3/2P4P/2P2PB1/R4RK1 b k - 0 19,e8e7,BLACK,214,2373,1
12866,3r4/p6k/7p/1b4p1/1n6/1NR2BPP/2P2P1K/8 w - - 3 49,h2g2,WHITE,625,1265,1
12867,3rk2r/4b3/3q2pp/pPN2p2/3P1p2/2P5/1P2QP1P/RN3KR1 w k - 2 29,b5b6,WHITE,528,1036,1
12868,1q1rb1r1/p6k/BpQn1b1p/1Pp1Nn1P/P1Pp1Pp1/3P2P1/4RBK1/3NR3 w - - 5 62,c6d5,WHITE,2342,2397,1
12869,4r1k1/1bq2pp1/Bpnbrn1p/3p4/3P4/1PP2PNP/PBQ2P2/2R1R1K1 b - - 0 21,e6e1,BLACK,1339,802,-1
12870,2b2r1k/2B1b1p1/5n2/1PPpN2q/Q2PnP1p/4Pp2/1P3P1P/R4RK1 w - - 5 27,b5b6,WHITE,2471,1307,-1
12871,8/1p3k2/4p2q/2rnQn1p/3p2pP/P2B1PP1/2PR3R/4K1N1 b - - 1 39,c5c3,BLACK,2094,2116,1
12872,5b1r/6p1/p2Pk1p1/1p2Pn1p/4BP2/2r1B3/4K2P/R7 w - - 1 36,e3d2,WHITE,2102,225,-1
12873,2b2qk1/1R6/1N3p2/1p2p1p1/Pb1nP2p/5P1P/4B1P1/5K2 w - - 4 49,e2c4,WHITE,390,230,-1
12874,6Q1/8/p7/8/1pPp3k/1PbP1p2/P4K1p/8 b - - 7 82,h2h1q,BLACK,1734,2265,1
12875,8/5p2/5Kb1/3k3p/1b5P/7R/8/8 w - - 22 58,h3e3,WHITE,908,1234,1
12876,rn2kb1r/1p3ppp/2n1p3/q2pP3/2pP1PP1/Pp4N1/1Q4BP/R1B2RK1 b kq - 4 19,g7g6,BLACK,1404,372,-1
12877,1kr2r2/1p1n1p2/p1p1pb1P/P2p1pB1/RP1P1Pn1/2NR3B/2PQ4/6K1 b - - 4 33,f8d8,BLACK,1702,2487,1
12878,4rrk1/3q4/pp4pb/2p2bNp/1nPp1B1P/NP1PnPP1/P2QPR2/R4BK1 b - - 1 25,b4c6,BLACK,1066,1797,1
12879,b7/7k/5p2/2B4P/8/3PK3/6rP/8 b - - 4 62,g2c2,BLACK,1032,472,-1
12880,r1bqk2r/pp3p2/2np3p/4b3/P2pPNpP/3P2B1/1P3PP1/R2Q1RK1 w kq - 5 18,b2b4,WHITE,1480,2169,1
12881,r1q5/1R2bbk1/2Pp1n1r/4ppp1/p1P5/P1P1PPp1/2Q1R1BP/2B3K1 w - - 2 30,f3f4,WHITE,860,1168,1
12882,r1bq1rk1/p3b1pp/4p3/1Npn1p2/1n1P4/4PN2/PPQ2PPP/RBB2RK1 w - - 1 14,c2b3,WHITE,603,1152,1
12883,rn1q1rk1/4p1bp/6p1/pp1P4/3P1p1P/P1BB1N2/1PQ2PP1/3RK2R b K - 1 19,a5a4,BLACK,657,1631,1
12884,2r2r1k/5ppp/2Nbqn2/1P1p4/P2pPP2/P2P2P1/7P/R2Q1RNK b - - 2 25,d5e4,BLACK,652,1002,1
12885,3r1rk1/pQ1P1pp1/4pq2/3p3p/3N2n1/Pp3NP1/1PP2PBP/R3R1K1 w - - 0 23,g2h1,WHITE,523,795,1
12886,r1q1r1k1/pP1p2p1/2nBbn1p/3p4/P1P3p1/1Q3P2/4P1BP/R3R2K b - - 0 26,g4f3,BLACK,1049,2051,1
12887,2r2rk1/1p3p1p/4p1p1/p2p1P2/7q/1PbP1Q2/2P2P2/3R1KRB w - - 0 22,g1g4,WHITE,1545,795,-1
12888,r1b2rk1/pB2pp2/5npb/7p/P4P2/4nQ2/1PP3PP/2KR1R2 b - - 0 20,a8b8,BLACK,1230,690,-1
12889,1n3rk1/1q4b1/rPpnp1p1/2P1p2p/pP1pP1PP/B4P2/3PQN2/R1K2N1R b - - 0 28,d6b5,BLACK,214,566,1
12890,2kqb2r/1p5p/1n1rpp2/pP1n2pP/P2P2P1/2P1B3/Q2N1P2/R3R1K1 b - - 4 28,d5c3,BLACK,1180,852,-1
12891,r1bq1rk1/pp2bpp1/6n1/P1p1p1Pp/3pN3/3P3P/1PPNQP2/R1B1R1K1 b - - 1 18,g6f4,BLACK,1956,1554,-1
12892,3r3k/p4p1p/3q2p1/1p6/4N2P/8/1B1P1PKP/3nr2R b - - 1 41,d1b2,BLACK,218,214,-1
12893,r1b1kb1r/1pqp1pp1/p3p2p/2pnP1n1/2N2P1N/1PQ3P1/P1PP2BP/R1B1K2R w KQkq - 9 16,c3d3,WHITE,1170,2129,1
12894,4Brk1/1b4b1/1q4pp/1p1n4/p2p1p2/P4NPP/1BR1PP2/1R4K1 w - - 4 30,b2d4,WHITE,1686,1614,-1
12895,7r/1kp2pbp/p1p1n3/4Pb2/1P3P2/P3P1P1/2P1K3/1R2B1q1 b - - 10 39,h7h6,BLACK,2057,1838,-1
12896,2N2N1k/7p/5np1/8/3B2P1/3P3P/P3PQ2/5K1q w - - 1 39,f2g1,WHITE,566,1243,1
12897,8/6N1/8/pkb2p1P/1p3P2/r7/2PBK3/8 b - - 0 56,a3h3,BLACK,1687,1232,-1
12898,r2q1k2/3r4/3Pp2p/1Np1PpbP/2Qn2p1/PP4P1/3P1P1N/1RBR2K1 w - - 3 29,h2g4,WHITE,627,1013,1
12899,1k6/pp5p/7r/nP2P3/n4r2/2P4P/5N1K/5R2 b - - 0 39,a5c4,BLACK,1339,524,-1
12900,1q1r3k/5pb1/4pN1p/pb6/5N2/1P4K1/RQ3P2/2R2B2 b - - 4 41,e6e5,BLACK,884,1939,1
12901,4rqk1/p1b2pp1/1pp5/3p1bPr/2P2P1p/1P2PNnP/PB2Q1B1/3RR1K1 w - - 3 35,e2d2,WHITE,2455,1708,-1
12902,1r4k1/pN4q1/P3p1rp/4Pp2/2NP3b/3P1P2/Q4P2/1R3K2 w - - 4 39,f1e2,WHITE,1444,317,-1
12903,r1bq1rk1/3n3p/2pb2pP/1p1p2P1/p6R/P1N1BN2/1P2BKQ1/3R4 w - - 2 28,f2g1,WHITE,1065,2120,1
12904,7r/5Q1p/2p3pk/2N5/p1B5/P6P/1PP2PPb/5R1K w - - 0 33,c5a4,WHITE,1863,2021,1
12905,1rr5/1Qn1p2k/p2p2pp/3P1p2/8/2NRqPP1/PP2PR1P/6K1 b - - 4 27,e3c5,BLACK,1138,2438,1
12906,3k1b1r/pp1rn1p1/2n4p/1N1p4/2P2B2/P4bPB/2PR1P1P/5RK1 w - - 5 20,f1e1,WHITE,2184,601,-1
12907,3r2k1/1br3qp/1Nnpp2n/p4p1P/1pP1PPp1/1P1P2P1/K3NQ2/1B1RR3 w - - 8 43,f2e3,WHITE,1733,1618,-1
12908,1r4k1/r1p1qpnp/2Bb2p1/p2pPpP1/Pp1P4/8/1BPNRQ1P/1K4R1 b - - 0 32,e7d8,BLACK,1548,1973,1
12909,1rb2rk1/qpb2p2/4pnp1/1BPpn3/P1P4N/1N2P2P/2Q2PP1/2R1R1K1 b - - 0 22,d5c4,BLACK,2459,2237,-1
12910,r2qkbnr/3b1pp1/p1n1p2p/4P3/2RpN3/pP1P1N2/2QBBPPP/R5K1 b kq - 0 19,a8c8,BLACK,1635,1853,1
12911,r2qrk2/p5pp/2N1B3/1p3P2/n2Pn1P1/4P2P/b2B3Q/5RK1 w - - 0 27,d2b4,WHITE,635,715,1
12912,2r1qrk1/1b1n1pp1/1p2pb1p/1N6/1PR1n3/P3PN1P/1BQ1BPP1/4K2R b K - 0 18,c8c4,BLACK,580,1448,1
12913,4k2r/p2rnppp/8/Bp3b2/3nN3/5PP1/qP4BP/2RQK1NR w Kk - 0 19,d1d2,WHITE,973,1869,1
12914,8/5k2/2pr3p/1p3BRP/p4P2/2bnr1PK/8/5R2 b - - 0 45,c3b2,BLACK,1568,511,-1
12915,r4rb1/1pp5/p5k1/PPnP2p1/2P4p/R5n1/8/3BK3 w - - 0 33,b5b6,WHITE,2143,711,-1
12916,7r/4k2P/1b6/2pp4/p1n2PP1/3p1K2/6R1/2B4R w - - 0 55,g4g5,WHITE,1479,875,-1
12917,r3r1k1/pp1n1pp1/3p3p/2p1p3/2P1P2P/q1PP2P1/3B1PB1/1R1QK2R b K - 2 19,a8b8,BLACK,995,1942,1
12918,4R2R/1p4k1/2p5/3q4/1B1p3p/P6P/6PK/5r2 w - - 6 52,h8h4,WHITE,2234,1181,-1
12919,r3k2r/nbqp1pp1/3bp1n1/p1pP2Pp/1pB1R3/2P2N1P/PP3PN1/R1BQ2K1 b kq - 6 20,a7c8,BLACK,1984,2126,1
12920,2rr2k1/1p3pb1/p1n1q2p/3b2p1/1P2N3/P1P1Q1P1/1B1RPPBP/5RK1 w - - 13 27,f1d1,WHITE,1195,1567,1
12921,q4rk1/1p4p1/8/1PPbp3/P2NN2R/3Pn1P1/4P3/R5K1 b - - 2 39,d5e4,BLACK,2074,521,-1
12922,8/pbn2pk1/4p3/P1p3p1/3b2P1/3B3P/7K/8 w - - 2 41,h2g3,WHITE,2450,2178,-1
12923,6r1/1p3k2/5pr1/1P1p3p/1PnP4/2P4P/4Kp2/2B2R2 w - - 1 43,c1f4,WHITE,2308,2298,-1
12924,r2q1rk1/p3p1bp/1p2p1p1/2p3p1/2P1PP2/2N2NP1/PPn1P2P/1R2K2R w K - 2 18,e1f1,WHITE,2056,1983,-1
12925,1q1k4/r2bb2p/2n2r1P/2p3p1/2Bp1p2/3P4/PP3KPQ/R1B1R3 w - - 3 31,f2g1,WHITE,1717,245,-1
12926,8/8/4k1p1/7p/1p3P1P/1p2N1P1/1P1R1K2/r7 b - - 8 49,a1h1,BLACK,778,1248,1
12927,rq2r1k1/3n1pb1/p4n2/2pP1PN1/2P4p/2NPB2P/pP1Q1PB1/4RK1R w - - 1 23,e1a1,WHITE,454,792,1
12928,rnb1kbnr/pp2pppp/2pq4/1N6/3PB3/P3Q3/3B3P/2R1K1NR b Kkq - 5 13,d6d8,BLACK,1557,1876,1
12929,r5k1/2R1Bp1p/p5r1/1p3p2/P7/1P2P3/8/5K1b b - - 0 31,h1g2,BLACK,2035,1503,-1
12930,2kr1r2/p1p1q1p1/2p4p/3np1Nb/1bB1N3/3P1P2/PPP3PP/R1BQ1RK1 w - - 0 14,g5h3,WHITE,2182,2198,1
12931,1r1q1k1r/2p2p1p/3ppPp1/8/bpPQNPPN/7P/PP2K3/2R4R b - - 1 23,c7c5,BLACK,751,1542,1
12932,rn1qr1k1/1p5p/6p1/1PPp1b2/p2P1Qpb/2N5/P3BP1N/3RK2R b - - 10 27,h4g5,BLACK,2298,1937,-1
12933,3q1nk1/rb4b1/pp2p3/2p1P1p1/2P4p/1PQ4P/PB3PP1/1B1rR1K1 w - - 4 33,a2a4,WHITE,964,833,-1
12934,2r1r1k1/2q2p2/1B2p1p1/p2pPnP1/1R3P1p/P2Q1N2/2PKN2P/7R w - - 0 25,b6c7,WHITE,846,1453,1
12935,8/3q1pk1/p4np1/2ppp1N1/1rP1P1P1/1b1P1P2/1P4K1/4Q3 w - - 0 38,c4d5,WHITE,875,372,-1
12936,r2qk2r/p2pbppp/bpn1p3/4P3/2P2Bn1/P1N1Q3/1P3PPP/R3KBNR w KQkq - 3 10,e3g3,WHITE,1872,1564,-1
12937,r1b2rk1/4qpp1/2p5/3pp2p/p1P3P1/RP1PP3/3N1PnP/2BQ1RK1 b - - 0 24,c8g4,BLACK,1005,503,-1
12938,r1b2rk1/4q3/p1p1p1Qp/P7/2pP1pp1/6P1/2P1PPBP/1RR1N1K1 b - - 1 23,e7g7,BLACK,701,1173,1
12939,Q3b1k1/5pp1/p7/1q5p/8/1N2P1PP/P4P2/6K1 w - - 0 43,b3c5,WHITE,1245,1260,1
12940,r3k2r/1pqbnpb1/p2p1npp/4p3/2PN3P/1P2BNP1/P3PPB1/2RQ1RK1 w kq - 0 17,c4c5,WHITE,564,792,1
12941,b2r1k2/8/Pq6/2N1r1p1/1PP2p1p/5P1P/1B1p2PQ/3R2K1 w - - 0 41,b2e5,WHITE,1087,1232,1
12942,r1bq2k1/4br1p/pP2p3/3p1pp1/N1n5/PN2P1P1/1PP2PP1/R1Q1KB1R b KQ - 0 19,c8d7,BLACK,2105,559,-1
12943,4r1k1/p4ppp/2p5/2P2b2/8/P3PB1P/Rq2KPP1/1r5R w - - 3 28,a2b2,WHITE,1194,786,-1
12944,1r3k1r/p2b1ppp/1q3n2/1pp5/5Q2/2NP1N2/PP2PbBP/R1B2K1R w - - 2 16,c3b5,WHITE,712,846,1
12945,1R3rk1/1b4pp/2p2n2/1p2p1N1/1P2P3/5NP1/qBQP1PKP/R7 b - - 2 22,a2b2,BLACK,952,1277,1
12946,r3r1k1/1pp2pb1/p2qbnpp/3pp1P1/P3P2P/1B1PQP2/1PP1N3/R1B1K2R b KQ - 0 18,d5d4,BLACK,1780,1918,1
12947,5r1k/1r1bbq2/1Pp5/p1n1Pppp/2PQ1P2/P2PPB2/3N1N1P/1RBK3R w - - 0 26,e5e6,WHITE,388,1333,1
12948,r3k1r1/5p2/bp2p3/p2pP1Np/Rbq4P/2N5/3B2P1/1BQ1K2R b q - 9 28,d5d4,BLACK,1619,1877,1
12949,4r2k/7p/5pp1/p2pp1P1/P1b4P/Qr3P2/8/4R1K1 w - - 4 41,a3d6,WHITE,2066,1820,-1
12950,8/1pq1bpkn/pB2p1pp/P3P3/2R2P2/1nQ5/1P1rBP1K/6R1 b - - 0 29,c7d7,BLACK,534,1606,1
12951,rnb1k1nr/pp1p1pQp/2p5/2q1p3/2BPP3/2N5/PPP2KPP/R1B3NR b kq - 0 7,e5d4,BLACK,1033,1062,1
12952,r5nk/1p2bp1p/4p3/pb1p1P2/2pP1Q2/4PN1P/P1PBBP2/7K w - - 0 25,f3e5,WHITE,867,1393,1
12953,r2qk2r/1p3p2/p1nb3p/2ppP3/4nBPP/2P3p1/PP2Q1P1/RN2KB1R w KQkq - 0 16,e5d6,WHITE,460,730,1
12954,r1qrn3/4ppbk/6pp/p1pPN3/2Q1PP2/3P2Pb/PP5P/R1B1R1KB w - - 3 22,h1f3,WHITE,461,536,1
12955,3rr3/1k1nbppp/1p2pn2/p2p4/2pP1B2/2P1PN2/PQ1N1PPP/1R3RK1 w - - 0 18,f3e5,WHITE,2254,2436,1
12956,1k1rb3/1p1q4/p1n2B2/4N2p/4P1rQ/P2B4/1P3PPP/2RR3K b - - 0 26,c6e5,BLACK,725,1114,1
12957,q2r2k1/5ppb/8/bp2pP1p/1N4nP/PBr5/3pNB2/R2Q1RK1 b - - 1 37,c3c8,BLACK,1878,2308,1
12958,8/p2p1pp1/P7/4k3/4P1P1/2q1BK2/5P2/8 w - - 2 44,g4g5,WHITE,1890,1659,-1
12959,n1bk1b1r/p4ppp/3Ppq2/1pP5/3P4/P4N2/4KPPP/n2Q1B1R w - - 1 18,f3e5,WHITE,1673,2427,1
12960,r2kq3/ppp1n1pp/2bb4/5PB1/4B3/P2P1p1P/1PP1n3/2Q1RRK1 w - - 1 25,e1e2,WHITE,1337,1916,1
12961,r4rk1/pp2bp1p/2q5/3p1bP1/1P1P1Nn1/2N5/1PPQ1PP1/R1B1KB1R b KQ - 0 17,e7g5,BLACK,933,1427,1
12962,4r3/1p3pk1/n2r4/P2n3R/2ppN1P1/K2B4/3b4/R7 b - - 3 43,d2b4,BLACK,1189,641,-1
12963,2kr1b1r/pp3ppp/3pb3/1B6/3B4/P1P4P/4QPP1/R3R1K1 b - - 2 21,c8c7,BLACK,347,698,1
12964,3Rrk2/4q3/1pQ1Bb2/4nPpp/6p1/2P5/PP5P/5RK1 b - - 0 44,e7d8,BLACK,1931,1255,-1
12965,r1bq1rk1/8/p4P2/1pnpp3/5Bp1/P3Q3/1PPN1PP1/3R1RK1 b - - 2 26,d5d4,BLACK,1324,1616,1
12966,5r1k/pp2n3/3Np3/2n5/3Q4/P1P5/1P4qP/1K6 b - - 1 38,g2g7,BLACK,911,665,-1
12967,5rk1/3Q2pp/8/pp2p3/8/2BP1bPP/P4P2/6K1 b - - 0 27,h7h5,BLACK,356,1305,1
12968,r1r3k1/3q1ppp/4p3/nNQB4/3P4/P7/1P3PPP/R3K2R b KQ - 0 19,e6d5,BLACK,797,682,-1
12969,8/8/8/1K2k3/r4p2/5n2/p7/R7 b - - 19 93,a4a8,BLACK,936,2056,1
12970,4rr1k/pp3ppb/1q5p/3pbP1P/3Nn1Q1/1NPBR3/P7/R3K3 w Q - 6 24,a1c1,WHITE,2482,2425,-1
12971,3rr1k1/p3bp2/2p2q1p/2P1nP1n/1P2B3/PR2B1p1/3N1NQP/4R2K b - - 5 35,f6h4,BLACK,873,1480,1
12972,2r2rk1/pb1p2pp/1pnPp1p1/4Pn2/NbP4P/2BB1N2/p4P2/Q4RK1 w - - 1 28,a1a2,WHITE,643,2093,1
12973,7r/1P2k3/p4p2/6p1/P1B5/1P5p/4PK1n/1b6 b - - 3 34,b1a2,BLACK,1574,958,-1
12974,rnbqrkn1/p4pp1/1p2p3/1PNp3p/P2P1B2/1R1B1P2/2PQ2P1/4R2K w - - 3 28,f4g5,WHITE,1608,2242,1
12975,5rk1/1p2Bqb1/p2Rp3/2p1n3/P3P1pQ/8/5PKP/1R6 b - - 0 32,e5g6,BLACK,1072,1661,1
12976,1k1rr3/1pp2pp1/5nn1/bN1p1bNp/Pq1P1B1P/2P1pPP1/4P1B1/R2Q1RK1 b - - 0 24,b4f8,BLACK,1202,2312,1
12977,8/3b4/kp1P4/P7/1Bpr4/6K1/8/8 b - - 0 56,b6b5,BLACK,2367,2177,-1
12978,3r4/1k4qr/2n2b2/p1pbpppp/PpNp4/1P1P1PPP/2PB1Q1N/2R1RB1K b - - 20 43,g7f7,BLACK,1902,1603,-1
12979,2r2rk1/1p4pp/3qbn2/4np2/1N2pQ2/P5P1/1PP1PPBP/R5K1 b - - 1 20,e5f3,BLACK,1272,1189,-1
12980,2kr2r1/pb2b2p/1q2p1p1/2p2pPn/2PP2QP/P1B2N2/3PBP2/2KR2R1 w - f6 0 24,g4h3,WHITE,225,473,1
12981,3q1rk1/r7/ppn3p1/3p3p/2pPp2P/2P1PnP1/PP2BPK1/1NRR4 w - - 2 23,b1a3,WHITE,1351,698,-1
12982,2bq1rk1/r3n3/p1Bp2pb/1pnP2N1/1N2p3/Q1P1B3/PP2KPPP/R6R w - - 2 20,h2h4,WHITE,1961,2103,1
12983,4r1k1/1p3p2/1b4b1/p6p/P1P1nN1P/R3R1p1/2nQ4/7K b - - 0 43,g3g2,BLACK,1094,462,-1
12984,3N4/8/6pp/3nk3/2r1N1PP/8/5K2/8 w - - 11 64,f2g3,WHITE,1593,640,-1
12985,4rrk1/1p3pq1/p6p/2p5/2P5/PP2PN2/3P1QB1/b1BR2K1 w - - 2 26,g1h1,WHITE,1696,369,-1
12986,3r2k1/2p1qr1p/p3p1pP/1pP5/b3N1P1/2QB1n2/PP3P2/2K4R w - b6 0 31,b2b3,WHITE,2475,1629,-1
12987,4r1k1/4qp2/1p1r3p/p7/2P2P2/1P1nPN1P/P4PBK/bQ1R4 w - - 0 34,d1d3,WHITE,1058,1049,-1
12988,r4rk1/pbq3p1/4p2p/4Np1B/1bnP4/1P2P3/R4PPP/1QB1nRK1 w - - 0 22,b3c4,WHITE,1223,1602,1
12989,rn3rk1/p4pb1/4pnp1/q1P4p/2PP4/3B2B1/PP3PPP/1K5R b - - 1 23,g6g5,BLACK,632,392,-1
12990,2r2r2/7k/p6p/2pqb1pP/P2pQ3/1R1P3R/1PPB1P2/3N1K2 b - - 1 36,d5e4,BLACK,225,1584,1
12991,1r2r1k1/pp1q2b1/2np3p/2p2ppn/Q1PP2b1/2N1BNP1/PP3PBP/4RRK1 b - - 1 20,c5d4,BLACK,2437,2341,-1
12992,r1b2rk1/3p1pp1/1p1P3p/2P1n1q1/p3P3/3Q4/PP1B2PP/1BR2RK1 w - - 3 25,d2g5,WHITE,499,973,1
12993,r4rk1/3bqpbp/3p2p1/2p5/3pn3/NP3NP1/QB3PBP/2R1R1K1 w - - 0 23,f3d4,WHITE,722,617,-1
12994,r4r2/p4kpp/1pP2pb1/4p3/1P1B4/P1N2NP1/5KBP/7R b - - 1 36,h7h5,BLACK,497,1707,1
12995,3q2k1/8/2rr1p2/ppNp3p/2pP1QpN/R3P1P1/4BP1P/5RK1 w - - 5 36,a3a1,WHITE,1160,1565,1
12996,4nk1r/1p1b1p2/p1r1p2p/3p2q1/2P3p1/P1QN4/1P2BPPP/3R1RK1 b - - 3 24,h8g8,BLACK,1941,1509,-1
12997,1r1qr1k1/2p2pp1/2P2n1p/p7/p2N2b1/1P1n2PP/PB3PB1/2R1Q1K1 w - - 0 23,e1a5,WHITE,1446,804,-1
12998,r7/p2R1ppk/1p5p/4p3/4P1P1/r1n2P1P/P2B1K2/5R2 w - - 8 34,d7f7,WHITE,896,1226,1
12999,2brr1k1/pp3pb1/2np3p/q1p5/2P1PpP1/1PNB1N1P/P2Q1P2/R1R3K1 b - - 1 26,c6e5,BLACK,1136,1222,1
13000,r4rk1/pbnpb3/2p1p1q1/1pN1P1pp/Pn1PNp2/1B5P/1PP1QPPB/R2R1K2 b - - 4 25,a8b8,BLACK,1163,1518,1
13001,8/p4pk1/4p1p1/6qp/2N3P1/1P4QK/P2R3P/8 w - - 2 36,g3c3,WHITE,674,889,1
13002,1r6/3k4/p1n4p/P5p1/3r1bP1/2p3BP/2Q2P2/6K1 b - - 3 42,b8b5,BLACK,683,2396,1
13003,4r1k1/1bb3p1/1q3p1p/2P5/6PP/3Q1N2/1p2RNK1/3R4 b - - 0 47,b6c6,BLACK,421,685,1
13004,4r2B/p2k4/1p6/6K1/1P3p2/1PR2P2/7r/8 b - - 0 54,h2h8,BLACK,2080,2075,-1
13005,2r1n1k1/4qp2/1rb1pn2/p2p2pp/PbpP4/2N1P2P/Q2NBPP1/BRR3K1 b - - 1 30,g5g4,BLACK,1389,1199,-1
13006,rn1qkb1r/5bpp/p7/1p2P3/6P1/2N2N2/PP1PQn1P/R1B1KBR1 b Qkq - 1 13,b5b4,BLACK,822,1174,1
